Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.9-74.125.200.188-51303-5228-6,192.168.0.9,51303,74.125.200.188,5228,6,26-05-2021 20:33,90267877,2,4,2,1,1,1,1,0,1,0,0.25,0.5,0.033234414,0.066468828,1.81E+07,2.46E+07,4.50E+07,81776,4.51E+07,4.51E+07,0,4.51E+07,4.51E+07,9.03E+07,3.01E+07,2.60E+07,4.51E+07,81776,0,0,0,0,40,116,0.022156276,0.044312552,0,1,0.571428571,0.534522484,0.285714286,0,0,0,0,1,0,0,0,2,0.666666667,1,0.25,0,0,0,0,0,0,2,2,4,1,-1,265,2,0,83223.5,2047.074132,84671,81776,4.50E+07,10446.79559,4.50E+07,4.50E+07,No Label
192.168.0.9-224.0.0.252-0-0-0,192.168.0.9,0,224.0.0.252,0,0,26-05-2021 20:33,54508947,1,1,0,0,0,0,0,0,0,0,0,0,0,0.036691224,5.45E+07,0,5.45E+07,5.45E+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018345612,0.018345612,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,5.45E+07,0,5.45E+07,5.45E+07,No Label
192.168.0.9-52.184.214.53-51364-443-6,192.168.0.9,51364,52.184.214.53,443,6,26-05-2021 20:33,114857884,12,10,1329,3236,674,0,110.75,193.7313627,1360,0,323.6,508.6889903,39.74476841,0.191541053,5469423.048,2.49E+07,1.14E+08,26,1.15E+08,1.04E+07,3.43E+07,1.14E+08,63,873450,97050,114034.2947,220605,393,0,0,0,0,240,224,0.104476938,0.087064115,0,1360,198.4782609,371.1183185,137728.8063,0,1,0,0,0,0,0,0,0,207.5,110.75,323.6,0,0,0,0,0,0,12,1329,10,3236,-1,2045,6,0,0,0,0,0,0,0,0,0,No Label
142.250.193.174-192.168.0.9-443-51371-6,192.168.0.9,51371,142.250.193.174,443,6,26-05-2021 20:33,113205988,7,7,647,792,581,0,92.42857143,216.7401341,580,0,113.1428571,220.505048,12.71134174,0.12366837,8708152.923,1.73E+07,4.50E+07,79,1.13E+08,1.89E+07,2.21E+07,4.51E+07,318,9.03E+07,1.50E+07,2.32E+07,4.51E+07,31425,0,0,0,0,140,188,0.061834185,0.061834185,0,581,95.93333333,204.4076692,41782.49524,0,1,0,0,0,0,0,0,1,102.7857143,92.42857143,113.1428571,0,0,0,0,0,0,7,647,7,792,-1,261,4,0,139035.5,124011.6802,226725,51346,4.50E+07,26127.59556,4.50E+07,4.50E+07,No Label
192.168.0.9-20.198.162.78-51203-443-6,192.168.0.9,51203,20.198.162.78,443,6,26-05-2021 20:33,60102316,3,3,101,443,101,0,33.66666667,58.31237719,171,101,147.6666667,40.41451884,9.051231903,0.099829764,1.20E+07,2.68E+07,5.99E+07,44748,6.00E+07,3.00E+07,4.23E+07,5.99E+07,93868,6.01E+07,3.00E+07,4.24E+07,6.00E+07,49218,0,1,0,0,60,60,0.049914882,0.049914882,0,171,92.14285714,70.30037594,4942.142857,0,0,0,1,1,0,0,0,1,107.5,33.66666667,147.6666667,0,0,0,0,0,0,3,101,3,443,-1,7283,1,0,93966,0,93966,93966,5.99E+07,0,5.99E+07,5.99E+07,No Label
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,26-05-2021 20:33,119708690,60,1,0,0,0,0,0,0,0,0,0,0,0,0.509570358,1995144.833,263556.9696,2050592,10669,1.18E+08,1995982.034,265738.8235,2050592,10669,0,0,0,0,0,0,0,0,0,0,0,0.501216745,0.008353612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
183.82.15.33-192.168.0.9-443-51370-6,192.168.0.9,51370,183.82.15.33,443,6,26-05-2021 20:33,90065437,28,50,1160,47366,519,0,41.42857143,127.5308034,1360,0,947.32,609.7096813,538.7860384,0.86603699,1169681,7205717.076,4.50E+07,0,9.01E+07,3335343.37,1.20E+07,4.50E+07,46,9.01E+07,1838070.143,8999029.008,4.50E+07,0,0,0,0,0,692,1024,0.310885073,0.555151917,0,1360,614.2531646,657.9518233,432900.6018,0,1,0,0,0,0,0,0,1,622.1282051,41.42857143,947.32,0,0,0,0,0,0,28,1160,50,47366,-1,123,7,0,21340,19875.35741,35394,7286,4.50E+07,8448.511822,4.50E+07,4.50E+07,No Label
183.82.15.33-192.168.0.9-443-51370-6,192.168.0.9,51370,183.82.15.33,443,6,26-05-2021 20:35,669,1,1,0,39,0,0,0,0,39,39,39,0,58295.96413,2989.536622,669,0,669,669,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,1494.768311,1494.768311,0,39,26,22.5166605,507,0,0,0,1,1,0,0,0,1,39,0,39,0,0,0,0,0,0,1,0,1,39,-1,123,0,0,0,0,0,0,0,0,0,0,No Label
142.250.196.46-192.168.0.9-443-52681-17,192.168.0.9,52681,142.250.196.46,443,17,26-05-2021 20:33,116592746,42,55,4218,8185,497,33,100.4285714,130.0654887,1350,26,148.8181818,268.412417,106.3788308,0.831955703,1214507.771,3665980.525,1.47E+07,1,1.17E+08,2842412.634,5236395.943,1.47E+07,2458,1.17E+08,2159124.926,4714669.007,1.47E+07,1,0,0,0,0,336,440,0.360228243,0.471727461,26,1350,126.9387755,218.9001475,47917.27456,0,0,0,0,0,0,0,0,1,128.2474227,100.4285714,148.8181818,0,0,0,0,0,0,42,4218,55,8185,-1,-1,42,0,1693602,2592670.994,7502262,12598,1.28E+07,3129994.687,1.47E+07,7688864,No Label
192.168.0.9-239.192.152.143-0-0-0,192.168.0.9,0,239.192.152.143,0,0,26-05-2021 20:33,112507720,2,1,0,0,0,0,0,0,0,0,0,0,0,0.026664837,5.63E+07,3182595.698,5.85E+07,5.40E+07,5.85E+07,5.85E+07,0,5.85E+07,5.85E+07,0,0,0,0,0,0,0,0,0,0,0,0.017776558,0.008888279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,-1,-1,0,0,0,0,0,0,5.63E+07,3182595.698,5.85E+07,5.40E+07,No Label
